
1-央视,#genre#
江苏卫视,http://1.202.9.192:8888/udp/225.1.8.134:8276
江苏卫视,http://220.180.229.250:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://120.7.86.46:808/hls/19/index.m3u8
江苏卫视,http://121.24.99.94:8090/hls/38/index.m3u8
江苏卫视,http://123.154.30.252:9901/tsfile/live/0017_1.m3u8
江苏卫视,http://14.19.211.0:6688/udp/239.77.0.48:5146
江苏卫视,http://58.57.21.166:9901/tsfile/live/0127_1.m3u8
江苏卫视,http://14.19.211.0:6688/udp/239.77.1.40:5146
江苏卫视,http://219.147.200.9:18080/newlive/live/hls/31/live.m3u8
江苏卫视,http://47.93.215.244:80/udp/225.1.8.44:8028
江苏卫视,http://ik6.iptv8.net:8888/rtp/225.1.4.18:1047
江苏卫视,http://112.101.78.50:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://111.11.98.205:9900/hls/32/index.m3u8
